Sl. No,District,Death due to negligence relating to road accidents - I,Death due to negligence relating to road accidents - V,Death due to negligence relating to road accidents - R,Hit and Run - I,Hit and Run - V,Hit and Run - R,Other Accidents - I,Other Accidents - V,Other Accidents - R
1,Ariyalur,161,174,20.1,14,14,1.8,147,160,18.4
2,Chennai,975,998,13.5,65,65,0.9,910,933,12.6
3,Coimbatore,593,607,24.1,41,41,1.7,552,566,22.4
4,Coimbatore  City,232,234,19.3,25,25,2.1,207,209,17.3
5,Cuddalore,525,550,19,57,57,2.1,468,493,17
6,Dharmapuri,308,317,19.3,28,28,1.8,280,289,17.5
7,Dindigul,509,539,22.2,25,25,1.1,484,514,21.1
8,Erode,494,525,20.7,42,42,1.8,452,483,18.9
9,Kanchipuram,233,240,24.3,45,45,4.7,188,195,19.6
10,Kanyakumari,307,321,15.5,37,37,1.9,270,284,13.6
11,Karur,393,413,34.8,39,39,3.5,354,374,31.3
12,Krishnagiri,543,589,27.3,72,74,3.6,471,515,23.7
13,Madurai,529,557,25.7,53,53,2.6,476,504,23.1
14,Madurai City,152,154,13.1,24,24,2.1,128,130,11
15,Nagapattinam,220,225,12.9,0,0,0,220,225,12.9
16,Namakkal,413,422,22.6,29,29,1.6,384,393,21
17,Nilgiris,32,33,4.1,1,1,0.1,31,32,4
18,Perambalur,164,173,27.3,7,7,1.2,157,166,26.2
19,Pudukottai,360,380,20.9,8,8,0.5,352,372,20.5
20,Ramnathapuram,318,335,22.2,7,7,0.5,311,328,21.7
21,Railway Chennai,1,1,-,0,0,-,1,1,-
22,Railway Trichy,0,0,-,0,0,-,0,0,-
23,Salem,559,572,20.4,42,53,1.5,517,519,18.9
24,Salem City,147,149,15.5,42,42,4.4,105,107,11.1
25,Sivagangai,320,337,22.5,26,26,1.8,294,311,20.7
26,Thanjavur,416,431,16.3,27,27,1.1,389,404,15.3
27,Theni,226,239,17.1,3,3,0.2,223,236,16.9
28,Thirunelveli,265,279,21.9,17,17,1.4,248,262,20.5
29,Thirunelveli City,76,80,14.1,6,6,1.1,70,74,13
30,Thiruvallur,318,331,12.7,33,34,1.3,285,297,11.4
31,Thiruvannamalai,490,522,18.8,53,56,2,437,466,16.7
32,Thiruvarur,162,168,12.1,12,12,0.9,150,156,11.2
33,Thoothukudi,371,394,19.9,34,34,1.8,337,360,18.1
34,Tiruppur,624,651,29.4,14,14,0.7,610,637,28.8
35,Tiruppur City,144,147,28.2,19,19,3.7,125,128,24.5
36,Trichy,498,513,25.9,27,27,1.4,471,486,24.5
37,Trichy City,126,130,13,17,17,1.8,109,113,11.2
38,Vellore,238,246,14.4,0,0,0,238,246,14.4
39,Villupuram,503,520,23,49,49,2.2,454,471,20.7
40,Virudhunagar,413,436,20,20,21,1,393,415,19.1
41,Cyber Cell,0,0,-,0,0,-,0,0,-
42,Other Units,0,0,-,0,0,-,0,0,-
43,Chengalpattu,452,472,18.7,0,0,0,452,472,18.7
44,Kallakurichi,255,275,17.2,12,12,0.8,243,263,16.4
45,Ranipet,239,242,18.8,33,33,2.6,206,209,16.2
46,Tiruppattur,218,226,17.4,13,13,1,205,213,16.4
47,Tenkasi,225,237,14.9,14,14,0.9,211,223,14
,TOTAL,14747,15384,19.3,1132,1150,1.5,13615,14234,17.8
